ID,FS1,FS2,FS3,FS4,FS5,FS6,FS7,FS8,FS8C,HO,WH,W1,W2,W3,W4,W5,W5C,P1,P2,F1,F2,F3,F4,F5,VML,D1,D2,D3,LM,LL,LC
IP94,No,No,No,No,No,Yes,No,No,,Monthly,The closest market to me in my neighborhood,No,No,No,Yes,No,,20,20,Less likely to visit,Had no effect,Had no effect,Less likely to visit,Had no effect,I visited the market less during the pandemic,20-29,Male,98177,Not much,the limited amount of stalls ,I go to the farmer's market mostly to look for artisan goods. 
IP95,No,No,No,No,No,Yes,No,No,,A few times a year,Different market(s) in Seattle,Yes,Yes,Yes,Yes,No,,5,0,Less likely to visit,More likely to visit,Less likely to visit,Less likely to visit,More likely to visit,I visited the market less during the pandemic,60-69,Female,98026,it's been nice to see people. ,,
IP96,No,No,No,No,No,Yes,No,No,,First time visiting,Different market(s) outside of Seattle,Yes,Yes,Yes,Yes,No,,0,0,Had no effect,More likely to visit,Had no effect,Had no effect,Had no effect,I visited the market the same amount,20-29,Female,34771,community and supporting others!,"nothing, it's amazing here!",Best 1st visit to Seattle (drew heart)
IP97,Yes,No,No,Yes,No,Yes,No,No,,Weekly,The closest market to me in my neighborhood,Yes,Yes,No,No,No,,50,50,Had no effect,More likely to visit,Had no effect,Less likely to visit,More likely to visit,I visited the market the same amount,50-59,Female,98107,"Being outside, getting food for my week",Lines- although its great people wanted to get to the market,Thanks for keeping this going! 
IP98,No,No,Yes,Yes,No,Yes,No,No,,Monthly,The closest market to me in my neighborhood,Yes,Yes,Yes,No,No,,10,0,Less likely to visit,Less likely to visit,Less likely to visit,Less likely to visit,More likely to visit,I visited the market less during the pandemic,20-29,Male,98177,Tough to say,Everyone wearing masks and social distancing,"The more vegan options and the less non vegan options, the better"
IP99,Yes,No,Yes,No,No,No,No,No,,Weekly,Different market(s) in Seattle,Yes,No,Yes,No,No,,30,70,Had no effect,Less likely to visit,Had no effect,Had no effect,More likely to visit,I visited the market more during the pandemic,30-39,Female,98122,"social connection, supporting small businesses, felt safe, fewer people, fewer lines inside",Fewer market stalls,great survey!
IP100,No,No,No,No,No,Yes,No,No,,Every few months,The closest market to me in my neighborhood,Yes,Yes,No,Yes,No,,10,0,Less likely to visit,Had no effect,Less likely to visit,Had no effect,Had no effect,I visited the market less during the pandemic,30-39,Male,98122,,,
IP101,No,No,No,No,No,Yes,No,No,,First time visiting,The closest market to me in my neighborhood,Yes,No,No,Yes,No,,10,10,Had no effect,Had no effect,Had no effect,Less likely to visit,Had no effect,I visited the market less during the pandemic,60-69,Male,11565,,,
IP102,No,No,No,Yes,No,Yes,No,No,,Every few months,The closest market to me in my neighborhood,Yes,Yes,No,No,No,,10,0,Had no effect,Had no effect,Had no effect,Had no effect,Had no effect,I visited the market less during the pandemic,70-79,Female,98117,that it kept going!,,
IP103,Yes,Yes,No,No,No,Yes,No,No,,Monthly,The closest market to me in my neighborhood,No,Yes,No,Yes,No,,5,5,Had no effect,Had no effect,Less likely to visit,Less likely to visit,Had no effect,I visited the market the same amount,30-39,Male,98107,Great Food! ,"Line, masks",Food stamps support helps
IP104,No,No,No,Yes,No,Yes,No,No,,Monthly,Different market(s) in Seattle,Yes,Yes,Yes,Yes,No,,0,0,Less likely to visit,Less likely to visit,Less likely to visit,Less likely to visit,More likely to visit,I visited the market less during the pandemic,20-29,Female,98105,Opportunity to get outside,lines ,(drew smiley face)
IP105,Yes,No,No,Yes,No,Yes,No,No,,Monthly,The closest market to me in my neighborhood,Yes,No,No,Yes,No,,10,40,Less likely to visit,Less likely to visit,Had no effect,Less likely to visit,Had no effect,I visited the market less during the pandemic,30-39,Female,98107,"We just started checking out the Ballard market about 1 month ago and now try to come weekly. Extra benefits from food stamps are great. Friendly folks, delicious food! ",Lines,
IP106,No,No,No,Yes,No,Yes,No,No,,Every few months,Different market(s) in Seattle,Yes,No,Yes,No,No,,10,0,Less likely to visit,Less likely to visit,Less likely to visit,Less likely to visit,Less likely to visit,I visited the market less during the pandemic,20-29,Female,98052,so many products in one outdoor space,wait,love this place! Thanks for all your hard work! 
O1,Yes,No,No,No,No,Yes,No,No,,Monthly,Different market(s) in Seattle,Yes,No,Yes,No,No,,50,50,Had no effect,Had no effect,Less likely to visit,Less likely to visit,More likely to visit,I visited the market more during the pandemic,20-29,Male,98102,Vendors are friendly,COVID rules. Rude patrons,
O4,No,No,No,Yes,No,Yes,No,No,,Monthly,Different market(s) in Seattle,Yes,Yes,No,No,No,,10,10,More likely to visit,Had no effect,Had no effect,Less likely to visit,More likely to visit,I visited the market more during the pandemic,30-39,Male,98106,Local farmers trying to make a living and providing quality food.,Lines due to limited capacity. That was such a bullshit,
O6,No,No,No,Yes,No,Yes,No,No,,First time visiting,The closest market to me in my neighborhood,Yes,Yes,No,No,No,,0,0,Less likely to visit,Less likely to visit,Had no effect,Less likely to visit,Had no effect,I visited the market the same amount,20-29,Male,98109,"Lived outside of Seattle during the majority of the pandemic, so did not have opportunity to go",,
O8,No,No,No,Yes,No,Yes,No,No,,First time visiting,The closest market to me in my neighborhood,Yes,Yes,No,No,No,,20,10,Less likely to visit,Less likely to visit,Less likely to visit,Less likely to visit,More likely to visit,I visited the market less during the pandemic,30-39,Female,98109,It is open air so it has been easier to practice social distancing while shopping ,Longer waits,
O9,No,No,No,No,No,Yes,No,No,,Monthly,The closest market to me in my neighborhood,Yes,No,No,Yes,No,,10,0,Less likely to visit,Less likely to visit,Had no effect,Had no effect,Had no effect,I visited the market less during the pandemic,60-69,Female,98109,,,
O10,Yes,No,No,No,No,Yes,No,No,,Weekly,The closest market to me in my neighborhood,Yes,No,No,No,No,,10,10,Had no effect,Had no effect,Had no effect,Less likely to visit,Less likely to visit,I visited the market less during the pandemic,20-29,Male,98109,,,
O11,No,Yes,Yes,No,No,No,No,No,,Weekly,The closest market to me in my neighborhood,Yes,No,Yes,No,No,,10,0,Had no effect,Had no effect,Had no effect,Less likely to visit,Less likely to visit,I visited the market less during the pandemic,40-49,Female,98109,I like that it’s still happening.,"Having my young kids there and trying to distance, and no food trucks/stands, made it not worthwhile.","I’m so glad to be able to go this summer, and that the farmers market is still being supported even though we opted out for high pandemic season."
O12,No,No,No,No,No,Yes,Yes,No,,A few times a year,The closest market to me in my neighborhood,Yes,No,Yes,No,No,,0,0,Less likely to visit,Less likely to visit,Less likely to visit,Less likely to visit,Had no effect,I visited the market less during the pandemic,40-49,Female,98109,,,
O13,Yes,No,No,No,No,Yes,No,No,,Weekly,The closest market to me in my neighborhood,Yes,Yes,No,No,No,,40,80,More likely to visit,Had no effect,Had no effect,Less likely to visit,More likely to visit,I visited the market the same amount,50-59,Female,98109,Healthy food and connecting with the farmers. ,"Lines, some markets didn’t allow dogs, distance from food I wanted to buy. ","I really appreciate this survey, the market organization and the farmers. "
O14,No,No,No,No,No,Yes,Yes,No,,Weekly,The closest market to me in my neighborhood,Yes,Yes,No,No,No,,10,0,Less likely to visit,More likely to visit,More likely to visit,Had no effect,Had no effect,I visited the market less during the pandemic,50-59,Male,98109,,,
O15,No,No,No,Yes,No,Yes,No,No,,Every few months,The closest market to me in my neighborhood,Yes,Yes,No,No,No,,10,0,Less likely to visit,Less likely to visit,Had no effect,Less likely to visit,More likely to visit,I visited the market less during the pandemic,40-49,Male,98109,Ability to get food while staying outdoors,Lines/wait,
O16,No,No,No,No,No,Yes,Yes,No,,A few times a year,The closest market to me in my neighborhood,No,No,No,Yes,No,,10,0,Had no effect,Had no effect,Had no effect,Less likely to visit,More likely to visit,I visited the market less during the pandemic,30-39,Female,98109,Specialty Treats,Kiss My Grits. Horrible. Cancellable. ,"Kiss My Grits should be removed from all Farmers Markets as they have low standard and tasteless, poor quality food. "
O17,Yes,No,No,No,No,No,No,No,,Weekly,Different market(s) in Seattle,No,Yes,Yes,No,No,,50,50,Had no effect,Had no effect,Had no effect,Had no effect,More likely to visit,I visited the market more during the pandemic,80 or over,Male,98109,This is irrelevant ,This is irrelevant ,None
O18,No,No,No,Yes,No,Yes,No,No,,Every few months,The closest market to me in my neighborhood,Yes,Yes,No,No,No,,0,10,Had no effect,More likely to visit,More likely to visit,Had no effect,Had no effect,I visited the market the same amount,50-59,Female,98103,Selection of fresh fruits and vegetables ,,
O19,No,Yes,No,No,No,Yes,No,No,,Weekly,Different market(s) in Seattle,Yes,Yes,No,No,No,,10,10,Had no effect,Had no effect,Less likely to visit,Less likely to visit,Less likely to visit,I visited the market less during the pandemic,60-69,Female,98109,That they were open,Waiting in line. ,
O20,No,No,Yes,No,No,Yes,No,No,,Every few months,Different market(s) in Seattle,Yes,Yes,No,No,No,,40,0,Less likely to visit,Less likely to visit,Less likely to visit,Less likely to visit,Less likely to visit,I visited the market less during the pandemic,60-69,Female,98072,"Being part of the community,",The lines,Keep up on the strong commitment t hat prevails throughout the Farmers Market community.
O21,No,No,Yes,Yes,No,No,No,No,,A few times a year,The closest market to me in my neighborhood,Yes,No,No,Yes,No,,10,10,Had no effect,Had no effect,Had no effect,Less likely to visit,Less likely to visit,I visited the market the same amount,,,98072,,,
O22,No,No,No,Yes,No,Yes,No,No,,Monthly,The closest market to me in my neighborhood,Yes,No,No,No,No,,10,10,Had no effect,Had no effect,Had no effect,Less likely to visit,Had no effect,I visited the market the same amount,50-59,Female,98052,,Waiting in a long line to enter,I think that the farmers markets/vendors did a great job during the pandemic.
O25,No,No,No,Yes,No,Yes,No,No,,Weekly,Different market(s) in Seattle,Yes,Yes,No,No,No,,10,10,Had no effect,Had no effect,Had no effect,Less likely to visit,Had no effect,I visited the market the same amount,60-69,Male,98052,It was less crowded,Sometimes long lines,
O26,Yes,No,No,No,No,Yes,No,No,,Monthly,The closest market to me in my neighborhood,Yes,Yes,No,No,No,,30,60,Had no effect,Had no effect,Had no effect,Had no effect,Had no effect,I visited the market more during the pandemic,30-39,Female,98119,Fresh meat and produce ,I can only go once a week and it’s a bit expensive. But it’s understandable given their availability and cost of production. ,I hope farmer’s market at more available throughout the week.
O27,Yes,No,No,No,No,Yes,No,No,,Weekly,The closest market to me in my neighborhood,Yes,No,Yes,No,No,,30,30,Had no effect,Had no effect,Had no effect,Had no effect,Had no effect,I visited the market the same amount,40-49,Female,98109,,,
O28,Yes,No,Yes,No,No,No,No,No,,Weekly,Different market(s) in Seattle,No,Yes,Yes,No,No,,20,50,More likely to visit,Less likely to visit,Less likely to visit,Less likely to visit,More likely to visit,I visited the market more during the pandemic,30-39,Female,98102,Commitment to community and ensuring access to safe healthy food during a health pandemic,The city restrictions placed on farmers markets and market closures ,
O29,Yes,No,Yes,No,No,No,No,No,,Weekly,The closest market to me in my neighborhood,Yes,Yes,No,No,No,,30,30,Less likely to visit,Less likely to visit,More likely to visit,Had no effect,Had no effect,I visited the market the same amount,40-49,Female,98119,Everyone's adherence to the guidelines,Lines to get in,Farmers markets are a vital part of the community! I'm grateful to have one so close by.
O30,No,No,No,No,No,Yes,No,No,,A few times a year,The closest market to me in my neighborhood,Yes,No,Yes,No,No,,0,0,Less likely to visit,Less likely to visit,Less likely to visit,Had no effect,Had no effect,I visited the market less during the pandemic,40-49,Male,43209,,,
O31,Yes,No,No,No,No,No,Yes,No,,Weekly,The closest market to me in my neighborhood,No,No,Yes,No,Yes,To get meal take out from food trucks ,20,10,More likely to visit,Had no effect,More likely to visit,Less likely to visit,Had no effect,I visited the market less during the pandemic,30-39,Female,98119,Community ,Lines to get in and absence of food trucks.,Now I will be back to visiting farmers market weekly.
O32,No,No,No,No,No,Yes,Yes,No,,Weekly,The closest market to me in my neighborhood,Yes,No,Yes,No,No,,10,10,Had no effect,Less likely to visit,More likely to visit,Had no effect,Had no effect,I visited the market less during the pandemic,40-49,Female,98109,Supporting small businesses and focusing on my local community. ,Last summer : Too Many People (appreciate the  rules but in general was really careful. But I’m feeling extra excited this summer!,
O33,Yes,No,No,No,No,Yes,No,No,,Weekly,The closest market to me in my neighborhood,No,No,Yes,Yes,No,,10,10,Had no effect,Had no effect,Had no effect,Had no effect,More likely to visit,I visited the market the same amount,30-39,Female,98119,Seeing neighbours I hadn't seen in months!,One way shopping,
O35,No,No,No,No,No,Yes,Yes,No,,A few times a year,The closest market to me in my neighborhood,Yes,Yes,No,No,No,,0,0,Less likely to visit,Less likely to visit,Had no effect,Had no effect,Had no effect,I visited the market less during the pandemic,20-29,Female,98119,,,
O36,No,No,No,Yes,No,Yes,No,No,,Every few months,The closest market to me in my neighborhood,Yes,Yes,No,No,No,,20,10,Had no effect,Less likely to visit,Less likely to visit,Less likely to visit,Had no effect,I visited the market less during the pandemic,30-39,Male,98109,Buying & supporting local/small businesses ,Didn’t like the lines and protocol ,Will be back next week!
O37,No,No,No,No,No,Yes,No,No,,Weekly,The closest market to me in my neighborhood,Yes,Yes,No,No,No,,10,0,Less likely to visit,Less likely to visit,More likely to visit,Less likely to visit,Had no effect,I visited the market less during the pandemic,50-59,Female,98107,Being able to get fresh food directly from the farmer.,Too few Black vendors - it is overwhelmingly white.,Please diversify the markets.  
O38,No,No,No,Yes,No,No,Yes,No,,Every few months,The closest market to me in my neighborhood,Yes,No,Yes,No,No,,10,0,Had no effect,Had no effect,Less likely to visit,Less likely to visit,Had no effect,I visited the market less during the pandemic,30-39,Female,98103,,,
O39,Yes,No,No,No,No,Yes,No,No,,Weekly,Different market(s) in Seattle,Yes,No,No,Yes,No,,10,60,More likely to visit,Had no effect,Had no effect,Less likely to visit,More likely to visit,I visited the market more during the pandemic,20-29,Female,98103,Becoming part of a community that cares about the same beliefs/interests. Getting to eat the most amazing food!,Less variety and less time to shop. ,"The farmers markets (specifically Ballard) made the pandemic for me much more tolerable, as it was an outlet with people that was safe and outside, supporting people I care about. "
O40,No,No,Yes,No,No,No,Yes,No,,Every few months,The closest market to me in my neighborhood,Yes,No,No,Yes,No,,0,0,Less likely to visit,Less likely to visit,More likely to visit,More likely to visit,Had no effect,I visited the market less during the pandemic,30-39,Female,98103,,,
O41,No,No,No,No,No,Yes,No,No,,A few times a year,The closest market to me in my neighborhood,Yes,No,No,No,No,,10,0,Less likely to visit,Less likely to visit,Less likely to visit,Had no effect,Had no effect,I visited the market less during the pandemic,30-39,Female,98109,,,
O42,Yes,No,No,No,No,Yes,No,No,,Monthly,The closest market to me in my neighborhood,Yes,Yes,No,No,No,,30,30,Had no effect,Had no effect,Had no effect,Had no effect,More likely to visit,I visited the market more during the pandemic,20-29,Male,98107,Less crowds,Less vendors (understandably),
O44,Yes,No,No,No,No,No,Yes,No,,Weekly,Different market(s) in Seattle,Yes,No,No,Yes,No,,60,40,Less likely to visit,Less likely to visit,Less likely to visit,Less likely to visit,Had no effect,I visited the market less during the pandemic,,,98059,outdoors,lack of social distance ,bring more stands 
O46,Yes,No,Yes,No,No,No,No,No,,Weekly,The closest market to me in my neighborhood,Yes,No,Yes,No,No,,20,40,Had no effect,Had no effect,Had no effect,Had no effect,More likely to visit,I visited the market the same amount,50-59,Male,98103,the dedication of  the vendors and market staff ,nothing - all is good,thanks - it was and is always something to look forward to on sundays
O47,Yes,No,No,No,No,No,Yes,No,,Weekly,The closest market to me in my neighborhood,Yes,Yes,No,No,No,,10,10,Had no effect,Had no effect,Had no effect,Had no effect,Had no effect,I visited the market the same amount,30-39,Female,98122,Open air!,Masking for vaccinated people after WA state relaxed rules.,
O48,Yes,No,No,No,No,Yes,No,No,,Weekly,Different market(s) in Seattle,Yes,Yes,No,No,No,,60,70,Less likely to visit,Less likely to visit,More likely to visit,Less likely to visit,Had no effect,I visited the market the same amount,40-49,Male,98119,"The new layout, and the drive-through option early on. The latter made is super easy and efficient to shop! I also liked that it was generally less crowded once inside (though I hated waiting in line). The online shopping was also a nice time saver in some cases.","When capacity restrictions were in place, I still saw most people were shopping in groups/families of 2-4 people, which contributed to longer lines. It would have been nice if a 1 person/household limit were enforced or if there was a singles line to get in so solo shoppers could get some priority.","I appreciate that the Ballard market continued to run during the pandemic, so thank you!"
O49,Yes,No,No,No,No,Yes,No,No,,Weekly,The closest market to me in my neighborhood,Yes,Yes,No,No,No,,20,20,More likely to visit,More likely to visit,More likely to visit,Had no effect,Had no effect,I visited the market the same amount,50-59,Female,98107,Feeling of safety compared to other shopping experiences. The convenience of a less crowded environment and quick shopping. I would prefer to wait in line at a regulated market rather than the chaos of the unregulated one. Sunday July 11 my experience at the no rules ballard famrmeed ,"NA I thought it was managed very well with the hybrid drive thru, preorder and in person. Staff and vendors were friendly and complied ",Now at 100% capacity and no masks it’s too crowded and feels unsafe. Please open a ‘shopping only’ hour say 8am for serious shoppers no casual socializing. I’ll be visiting less often this summer bc of this. Time to use grocery stores more again alas. 
O50,Yes,No,No,No,No,Yes,No,No,,Weekly,The closest market to me in my neighborhood,Yes,No,Yes,No,No,,30,30,Had no effect,More likely to visit,More likely to visit,Had no effect,More likely to visit,I visited the market the same amount,40-49,Female,98107,"I actually really liked the crowd control, it made it easier to get to my favorite vendors. I'd rather wait to get in then be jam packed inside the tents",Nothing specific - I was glad when the made-to-order food tents could reopen,"I think y'all handled the pandemic with creativity, patience, and dedication. I really appreciate that you were able to keep the markets open so we could support the farmers and other vendors. Thank you for everything."
O51,Yes,No,No,No,No,Yes,No,No,,Weekly,The closest market to me in my neighborhood,Yes,Yes,No,No,No,,30,70,More likely to visit,Had no effect,More likely to visit,Had no effect,Had no effect,I visited the market more during the pandemic,60-69,Female,98117,Customers not handling food. Buying food closer to the source ,Time limit was low for the size of the market,I am happy the mask mandate was lifted & not left in place
O53,Yes,No,No,No,No,Yes,No,No,,Weekly,The closest market to me in my neighborhood,Yes,No,Yes,No,No,,20,10,Less likely to visit,Had no effect,More likely to visit,Had no effect,Had no effect,I visited the market the same amount,30-39,Female,98103,Being able to continue supporting local farmers and getting fresh produce!,The reduction in prepared food. We love food trucks!,"At the Wallingford farmers market this week (7/14), so few of the vendors wore masks that I felt unsafe. My partner and I are vaccinated but our kids are too young for it yet, and we won't be bringing them back until more vendors are masked. The week before we patronized only vendors who were masked; this week only two vendors were masked. I can't put my children's health and safety at risk by trusting strangers to be vaccinated. My kids (4.5 and 2) are great at wearing masks but we were disappointed to see adults no longer are!!' "
O54,Yes,No,No,No,No,Yes,No,No,,Weekly,The closest market to me in my neighborhood,Yes,No,Yes,No,No,,10,10,Less likely to visit,Less likely to visit,Had no effect,Had no effect,More likely to visit,I visited the market the same amount,30-39,Female,98105,,,
O55,Yes,No,Yes,No,No,No,No,No,,Weekly,The closest market to me in my neighborhood,Yes,Yes,No,No,No,,50,40,Had no effect,Had no effect,Had no effect,Less likely to visit,More likely to visit,I visited the market the same amount,70-79,Female,98117,"Supporting local farmers, opportunity to get good food",the lines but pre-order and senior allowed us to skip,our farmers market is THE BEST!  
O56,No,No,Yes,No,No,Yes,No,No,,Weekly,The closest market to me in my neighborhood,Yes,Yes,No,No,No,,20,20,Had no effect,Had no effect,More likely to visit,Had no effect,More likely to visit,I visited the market the same amount,60-69,,98117,The limiting of crowds ,So many fewer vendors due to space restrictions ,I'm a huge fan of the ballard farmers market!
O57,No,Yes,No,No,No,Yes,No,No,,Monthly,Different market(s) in Seattle,Yes,Yes,No,No,No,,20,0,Had no effect,Had no effect,Had no effect,Less likely to visit,Had no effect,I visited the market less during the pandemic,60-69,Male,98199,,,
O59,No,No,No,Yes,No,Yes,No,No,,Monthly,The closest market to me in my neighborhood,Yes,No,Yes,No,No,,20,10,Less likely to visit,Less likely to visit,Less likely to visit,Less likely to visit,More likely to visit,I visited the market the same amount,20-29,Female,98107,Seeing people again,Too crowded,
O60,Yes,No,No,No,Yes,No,No,No,,Monthly,The closest market to me in my neighborhood,Yes,Yes,No,No,No,,30,60,Less likely to visit,Less likely to visit,More likely to visit,Had no effect,Had no effect,I visited the market more during the pandemic,30-39,Nonbinary,98103,online order and pickup options,others not adhering to the rules to keep us all safe,
O61,Yes,No,Yes,No,No,No,No,No,,Weekly,The closest market to me in my neighborhood,Yes,Yes,No,No,No,,100,100,Had no effect,Had no effect,Had no effect,Had no effect,Had no effect,I visited the market the same amount,70-79,Female,98117,Seniors go first,Not picking your own,My favorite place to shop!!
O62,Yes,No,Yes,No,No,No,No,No,,Weekly,The closest market to me in my neighborhood,Yes,Yes,No,No,No,,100,100,Had no effect,Had no effect,Had no effect,Had no effect,Had no effect,I visited the market the same amount,70-79,Female,98117,"Pre orders go earlier,and seniors ",Maske,Love it
O64,Yes,No,Yes,No,No,No,No,No,,Weekly,The closest market to me in my neighborhood,Yes,Yes,No,No,No,,30,30,Had no effect,Had no effect,Had no effect,Had no effect,Had no effect,I visited the market the same amount,30-39,Female,98117,I liked the switch to an earlier start time,Not being able to select my own produce,Thank you for finding a way to keep it going!
O65,Yes,No,No,No,No,Yes,No,No,,Weekly,Different market(s) in Seattle,Yes,Yes,No,No,No,,30,70,More likely to visit,Had no effect,More likely to visit,Had no effect,Had no effect,I visited the market more during the pandemic,20-29,Female,98109,,,
O66,No,No,No,Yes,No,Yes,No,No,,Weekly,The closest market to me in my neighborhood,Yes,Yes,No,No,No,,10,0,Had no effect,Had no effect,Had no effect,Had no effect,Had no effect,I visited the market the same amount,20-29,Female,98119,,,
O67,No,No,No,No,No,Yes,No,No,,First time visiting,The closest market to me in my neighborhood,Yes,Yes,No,No,No,,10,0,Had no effect,Had no effect,Had no effect,Less likely to visit,Had no effect,I visited the market the same amount,50-59,Female,98129,,,
